nameOfPublication,nameOfAuthor,linkOfAuthorProfile,articleTitle,articleLink,postingTime
towards-data-science,Thomas Nield,https://towardsdatascience.com/@thomasnield9727,How It Feels to Learn Data Science in 2019,https://towardsdatascience.com/how-it-feels-to-learn-data-science-in-2019-6ee688498029?source=collection_archive---------0-----------------------,2019-02-03T22:26:01.018Z
towards-data-science,Nagesh Singh Chauhan,https://towardsdatascience.com/@nageshsinghchauhan,A beginner’s guide to Linear Regression in Python with Scikit-Learn,https://towardsdatascience.com/a-beginners-guide-to-linear-regression-in-python-with-scikit-learn-83a8f7ae2b4f?source=collection_archive---------1-----------------------,2019-02-25T08:28:37.665Z
towards-data-science,Harshall Lamba,https://towardsdatascience.com/@harshall.lamba,Understanding Semantic Segmentation with UNET,https://towardsdatascience.com/understanding-semantic-segmentation-with-unet-6be4f42d4b47?source=collection_archive---------2-----------------------,2019-02-17T13:55:08.440Z
towards-data-science,Daniel Bourke,https://towardsdatascience.com/@mrdbourke,Thinking of Self-Studying Machine Learning? Remind yourself of these 6 things,https://towardsdatascience.com/thinking-of-self-studying-machine-learning-remind-yourself-of-these-6-things-b55a5f2b6c7d?source=collection_archive---------3-----------------------,2019-02-19T10:31:01.023Z
towards-data-science,Parul Pandey,https://towardsdatascience.com/@parulnith,Jupyter Lab: Evolution of the Jupyter Notebook,https://towardsdatascience.com/jupyter-lab-evolution-of-the-jupyter-notebook-5297cacde6b?source=collection_archive---------4-----------------------,2019-02-22T23:07:57.546Z
towards-data-science,Abhini Shetye,https://towardsdatascience.com/@abhini.shetye,Feature Selection with sklearn and Pandas,https://towardsdatascience.com/feature-selection-with-pandas-e3690ad8504b?source=collection_archive---------5-----------------------,2019-02-11T06:57:35.889Z
towards-data-science,Edouard Harris,https://towardsdatascience.com/@edouard_harris,What no one will tell you about data science job applications,https://towardsdatascience.com/what-no-one-will-tell-you-about-data-science-job-applications-bff2d4b5e983?source=collection_archive---------6-----------------------,2019-02-11T03:22:47.053Z
towards-data-science,Ale Koretzky,https://towardsdatascience.com/@ale.koretzky,Audio AI: isolating vocals from stereo music using Convolutional Neural Networks,https://towardsdatascience.com/audio-ai-isolating-vocals-from-stereo-music-using-convolutional-neural-networks-210532383785?source=collection_archive---------7-----------------------,2019-02-04T17:00:06.153Z
towards-data-science,Jeff Hale,https://towardsdatascience.com/@jeffhale,10 Git Commands You Should Know,https://towardsdatascience.com/10-git-commands-you-should-know-df54bea1595c?source=collection_archive---------8-----------------------,2019-02-28T10:53:14.216Z
towards-data-science,Kunlun Bai,https://towardsdatascience.com/@baikunlun1023,A Comprehensive Introduction to Different Types of Convolutions in Deep Learning,https://towardsdatascience.com/a-comprehensive-introduction-to-different-types-of-convolutions-in-deep-learning-669281e58215?source=collection_archive---------9-----------------------,2019-02-11T21:39:08.693Z
towards-data-science,Will Koehrsen,https://towardsdatascience.com/@williamkoehrsen,The Next Level of Data Visualization in Python,https://towardsdatascience.com/the-next-level-of-data-visualization-in-python-dd6e99039d5e?source=collection_archive---------0-----------------------,2019-01-09T04:08:44.483Z
towards-data-science,Boris B,https://towardsdatascience.com/@borisborev,Using the latest advancements in deep learning to predict stock price movements,https://towardsdatascience.com/aifortrading-2edd6fac689d?source=collection_archive---------1-----------------------,2019-01-10T02:44:15.318Z
towards-data-science,Jeff Hale,https://towardsdatascience.com/@jeffhale,Learn Enough Docker to be Useful,https://towardsdatascience.com/learn-enough-docker-to-be-useful-b7ba70caeb4b?source=collection_archive---------2-----------------------,2019-01-09T22:05:30.558Z
towards-data-science,Will Koehrsen,https://towardsdatascience.com/@williamkoehrsen,The Poisson Distribution and Poisson Process Explained,https://towardsdatascience.com/the-poisson-distribution-and-poisson-process-explained-4e2cb17d459?source=collection_archive---------3-----------------------,2019-01-20T22:27:53.888Z
towards-data-science,Joseph Rocca,https://towardsdatascience.com/@joseph.rocca,Understanding Generative Adversarial Networks (GANs),https://towardsdatascience.com/understanding-generative-adversarial-networks-gans-cd6e4651a29?source=collection_archive---------4-----------------------,2019-01-07T22:39:44.878Z
towards-data-science,Anne Bonner,https://towardsdatascience.com/@annebonner,Getting Started With Google Colab,https://towardsdatascience.com/getting-started-with-google-colab-f2fff97f594c?source=collection_archive---------5-----------------------,2019-01-01T13:54:35.035Z
towards-data-science,Jeff Hale,https://towardsdatascience.com/@jeffhale,Learn Enough Docker to be Useful,https://towardsdatascience.com/learn-enough-docker-to-be-useful-b0b44222eef5?source=collection_archive---------6-----------------------,2019-01-28T16:20:10.414Z
towards-data-science,Harshall Lamba,https://towardsdatascience.com/@harshall.lamba,One Shot Learning with Siamese Networks using Keras,https://towardsdatascience.com/one-shot-learning-with-siamese-networks-using-keras-17f34e75bb3d?source=collection_archive---------7-----------------------,2019-01-21T05:48:36.264Z
towards-data-science,Thomas Nield,https://towardsdatascience.com/@thomasnield9727,Is Deep Learning Already Hitting its Limitations?,https://towardsdatascience.com/is-deep-learning-already-hitting-its-limitations-c81826082ac3?source=collection_archive---------8-----------------------,2019-01-05T17:27:41.835Z
towards-data-science,Baptiste Rocca,https://towardsdatascience.com/@baptiste.rocca,Handling imbalanced datasets in machine learning,https://towardsdatascience.com/handling-imbalanced-datasets-in-machine-learning-7a0e84220f28?source=collection_archive---------9-----------------------,2019-01-27T22:37:00.582Z
